letter,count_all,count_uppercase,percentage
a,555,27,5.2
b,45,0,0.42
c,88,16,0.82
d,218,17,2.04
e,492,0,4.61
f,189,0,1.77
g,76,0,0.71
h,123,0,1.15
i,366,18,3.43
j,54,1,0.51
k,107,24,1.0
l,160,2,1.5
m,118,17,1.11
n,343,55,3.21
o,509,16,4.77
p,66,1,0.62
q,13,2,0.12
r,333,0,3.12
s,288,2,2.7
t,365,37,3.42
u,236,0,2.21
v,52,21,0.49
w,194,51,1.82
y,63,0,0.59
z,32,0,0.3
č,20,0,0.19
ė,76,1,0.71
ę,1,0,0.01
į,5,0,0.05
š,65,30,0.61
ū,25,0,0.23
ų,5,0,0.05
о,32,0,0.3
т,32,0,0.3
ч,16,15,0.15
